experiment	task	kernel	tok_s	throughput	pct_peak	correctness	peak_vram_mb	description	kept
0	baseline	all	7.2	-	-	PASS	4300	TinyLlama 1.1B F32 dequant, CPU attention, 140ms/tok avg	YES
1	task1	all	3.4	-	-	PASS	-	Qwen3-0.6B Q8_0 VERIFIED correct — matches ollama output word-for-word	YES
